Candidates_of_the_same_steps&Hellinger Distance&Probabilities 
[[3, 59], [59, 3]]&0.0&0.141638190474
[[4, 58], [58, 4]]&0.102552352365&0.104316278704
[[2, 60], [60, 2]]&0.124055387635&0.0978364836624
[[5, 57], [57, 5]]&0.190485838467&0.0802524890327
[[6, 56], [56, 6]]&0.26745812616&0.06379140166
[[1, 61], [61, 1]]&0.287080930574&0.0601653177381
[[7, 55], [55, 7]]&0.335727353233&0.0520401084574
[[8, 54], [54, 8]]&0.396823080844&0.0433716087066
[[9, 53], [53, 9]]&0.451849470211&0.03680730521
[[10, 52], [52, 10]]&0.501641654968&0.0317279477812
[[11, 51], [51, 11]]&0.546854250298&0.0277256372358
[[12, 50], [50, 12]]&0.588015048105&0.0245227447167
[[13, 49], [49, 13]]&0.625559398022&0.0219250568589
[[14, 48], [48, 14]]&0.659853195891&0.0197934989782
[[15, 47], [47, 15]]&0.69120881171&0.0180264422704
[[16, 46], [46, 16]]&0.719896459498&0.0165482886549
[[17, 45], [45, 17]]&0.746152521865&0.0153019085325
[[18, 44], [44, 18]]&0.770185779522&0.0142435139691
[[19, 43], [43, 19]]&0.792182162539&0.0133391113924
[[20, 42], [42, 20]]&0.812308435239&0.0125620021897
[[21, 41], [41, 21]]&0.830715096779&0.0118909926911
[[22, 40], [40, 22]]&0.847538694803&0.0113090931609
[[23, 39], [39, 23]]&0.862903693083&0.0108025594434
[[24, 38], [38, 24]]&0.876923995513&0.010360178317
[[25, 37], [37, 25]]&0.889704202031&0.00997272855572
[[26, 36], [36, 26]]&0.901340653074&0.0096325702689
[[27, 35], [35, 27]]&0.911922305504&0.00933332897963
[[28, 34], [34, 28]]&0.921531473026&0.00906965042437
[[29, 33], [33, 29]]&0.930244456718&0.0088370086735
[[30, 32], [32, 30]]&0.938132085812&0.00863155482809
[[31, 31]]&0.94526018466&0.00422499843177
