Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[3, 59], [59, 3]]&0.0&0.196734670144
[[4, 58], [58, 4]]&0.102552352365&0.119325609271
[[2, 60], [60, 2]]&0.124055387635&0.196734670144
[[5, 57], [57, 5]]&0.190485838467&0.0723746405119
[[6, 56], [56, 6]]&0.26745812616&0.0438974384565
[[1, 61], [61, 1]]&0.287080930574&0.119325609271
[[7, 55], [55, 7]]&0.335727353233&0.0266251423074
[[8, 54], [54, 8]]&0.396823080844&0.0161489651297
[[9, 53], [53, 9]]&0.451849470211&0.0097948424755
[[10, 52], [52, 10]]&0.501641654968&0.0059408722713
[[11, 51], [51, 11]]&0.546854250298&0.00360332118267
[[12, 50], [50, 12]]&0.588015048105&0.00218552478182
[[13, 49], [49, 13]]&0.625559398022&0.0013255878005
[[14, 48], [48, 14]]&0.659853195891&0.000804009664184
[[15, 47], [47, 15]]&0.69120881171&0.000487656546723
[[16, 46], [46, 16]]&0.719896459498&0.000295778704191
[[17, 45], [45, 17]]&0.746152521865&0.000179398946879
[[18, 44], [44, 18]]&0.770185779522&0.000108811117071
[[19, 43], [43, 19]]&0.792182162539&6.59975349463e-05
[[20, 42], [42, 20]]&0.812308435239&4.0029951019e-05
[[21, 41], [41, 21]]&0.830715096779&2.42800893638e-05
[[22, 40], [40, 22]]&0.847538694803&1.47277673892e-05
[[23, 39], [39, 23]]&0.862903693083&8.93473647134e-06
[[24, 38], [38, 24]]&0.876923995513&5.4223142858e-06
[[25, 37], [37, 25]]&0.889704202031&3.29394828857e-06
[[26, 36], [36, 26]]&0.901340653074&2.00636895087e-06
[[27, 35], [35, 27]]&0.911922305504&1.23091916115e-06
[[28, 34], [34, 28]]&0.921531473026&7.69663863309e-07
[[29, 33], [33, 29]]&0.930244456718&5.04866752404e-07
[[30, 32], [32, 30]]&0.938132085812&3.689378546e-07
[[31, 31]]&0.94526018466&1.63590528346e-07
