Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[31, 31]]&0.0&0.316060279414
[[30, 32], [32, 30]]&0.0445480565516&0.432332358382
[[29, 33], [33, 29]]&0.0890053110275&0.159046186402
[[28, 34], [34, 28]]&0.133281144989&0.0585098221739
[[27, 35], [35, 27]]&0.177285308307&0.0215245606844
[[26, 36], [36, 26]]&0.220928105936&0.00791844335603
[[25, 37], [37, 25]]&0.264120587861&0.00291303251677
[[24, 38], [38, 24]]&0.30677474337&0.00107164477438
[[23, 39], [39, 23]]&0.348803700849&0.000394236080734
[[22, 40], [40, 22]]&0.390121934404&0.00014503134907
[[21, 41], [41, 21]]&0.430645478725&5.33540516483e-05
[[20, 42], [42, 20]]&0.470292153782&1.96278587045e-05
[[19, 43], [43, 19]]&0.508981801101&7.22068569164e-06
[[18, 44], [44, 18]]&0.546636533689&2.65634181706e-06
[[17, 45], [45, 17]]&0.583181001967&9.77213543253e-07
[[16, 46], [46, 16]]&0.618542678584&3.59496772226e-07
[[15, 47], [47, 15]]&0.652652165619&1.32251471629e-07
[[14, 48], [48, 14]]&0.685443528677&4.86525975346e-08
[[13, 49], [49, 13]]&0.716854663826&1.7898290358e-08
[[12, 50], [50, 12]]&0.746827705663&6.58441303201e-09
[[11, 51], [51, 11]]&0.775309488655&2.42227019136e-09
[[10, 52], [52, 10]]&0.802252080614&8.91103419298e-10
[[9, 53], [53, 9]]&0.827613419521&3.27818648383e-10
[[8, 54], [54, 8]]&0.851358108935&1.20597728859e-10
[[7, 55], [55, 7]]&0.873458477215&4.43654033051e-11
[[6, 56], [56, 6]]&0.893896118205&1.63211895614e-11
[[5, 57], [57, 5]]&0.912664409714&6.00413578547e-12
[[4, 58], [58, 4]]&0.92977328938&2.20886044624e-12
[[3, 59], [59, 3]]&0.94526018466&8.12536294169e-13
[[2, 60], [60, 2]]&0.959222346213&2.99027892263e-13
[[1, 61], [61, 1]]&0.97196462353&1.0992709998e-13
