Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[1, 151, 1], [1, 1, 151], [151, 1, 1]]&0.999941&4.41134645763e-06
[[1, 150, 2], [2, 1, 150], [2, 150, 1], [1, 2, 150], [150, 1, 2], [150, 2, 1]]&0.999915&8.82470123239e-06
[[1, 149, 3], [3, 1, 149], [3, 149, 1], [1, 3, 149], [149, 1, 3], [149, 3, 1]]&0.999886&8.8269728446e-06
[[2, 2, 149], [2, 149, 2], [149, 2, 2]]&0.999878&4.41379378673e-06
[[1, 148, 4], [4, 148, 1], [4, 1, 148], [1, 4, 148], [148, 1, 4], [148, 4, 1]]&0.999852&8.82957560673e-06
[[2, 3, 148], [2, 148, 3], [3, 2, 148], [3, 148, 2], [148, 2, 3], [148, 3, 2]]&0.999836&8.83085179235e-06
[[1, 147, 5], [5, 1, 147], [1, 5, 147], [5, 147, 1], [147, 1, 5], [147, 5, 1]]&0.999814&8.83254844193e-06
[[2, 4, 147], [4, 147, 2], [2, 147, 4], [4, 2, 147], [147, 2, 4], [147, 4, 2]]&0.999787&8.83459137363e-06
[[3, 3, 147], [3, 147, 3], [147, 3, 3]]&0.999779&4.41761895565e-06
[[1, 146, 6], [6, 1, 146], [6, 146, 1], [1, 6, 146], [146, 1, 6], [146, 6, 1]]&0.99977&8.83592232622e-06
[[2, 5, 146], [2, 146, 5], [5, 2, 146], [5, 146, 2], [146, 2, 5], [146, 5, 2]]&0.999732&8.83886221198e-06
[[1, 145, 7], [7, 1, 145], [1, 7, 145], [145, 1, 7], [145, 7, 1], [7, 145, 1]]&0.999721&8.83972471525e-06
[[4, 146, 3], [3, 4, 146], [3, 146, 4], [4, 3, 146], [146, 3, 4], [146, 4, 3]]&0.999714&8.84026218876e-06
[[2, 6, 145], [2, 145, 6], [6, 2, 145], [6, 145, 2], [145, 2, 6], [145, 6, 2]]&0.99967&8.8437087967e-06
[[8, 144, 1], [1, 144, 8], [1, 8, 144], [144, 1, 8], [144, 8, 1], [8, 1, 144]]&0.999666&8.84398089378e-06
[[3, 5, 145], [3, 145, 5], [5, 3, 145], [5, 145, 3], [145, 3, 5], [145, 5, 3]]&0.99964&8.84599971529e-06
[[4, 145, 4], [4, 4, 145], [145, 4, 4]]&0.999631&4.42337872183e-06
[[9, 1, 143], [1, 143, 9], [9, 143, 1], [1, 9, 143], [143, 1, 9], [143, 9, 1]]&0.999605&8.84871444441e-06
[[2, 7, 144], [2, 144, 7], [7, 2, 144], [144, 2, 7], [144, 7, 2], [7, 144, 2]]&0.9996&8.84917058498e-06
[[3, 6, 144], [3, 144, 6], [6, 3, 144], [6, 144, 3], [144, 3, 6], [144, 6, 3]]&0.999557&8.8525102847e-06
[[1, 142, 10], [10, 1, 142], [10, 142, 1], [1, 10, 142], [142, 1, 10], [142, 10, 1]]&0.999538&8.85394739973e-06
[[4, 144, 5], [4, 5, 144], [5, 4, 144], [5, 144, 4], [144, 4, 5], [144, 5, 4]]&0.999535&8.85417426035e-06
[[8, 143, 2], [2, 8, 143], [2, 143, 8], [143, 2, 8], [143, 8, 2], [8, 2, 143]]&0.999521&8.85528394953e-06
[[1, 141, 11], [11, 1, 141], [141, 1, 11], [11, 141, 1], [141, 11, 1], [1, 11, 141]]&0.999464&8.85970026424e-06
[[3, 7, 143], [3, 143, 7], [7, 3, 143], [143, 3, 7], [143, 7, 3], [7, 143, 3]]&0.999462&8.85984697481e-06
[[9, 2, 142], [2, 9, 142], [9, 142, 2], [2, 142, 9], [142, 2, 9], [142, 9, 2]]&0.999434&8.8620828595e-06
[[4, 143, 6], [4, 6, 143], [6, 4, 143], [6, 143, 4], [143, 4, 6], [143, 6, 4]]&0.999427&8.86259003597e-06
[[5, 5, 143], [5, 143, 5], [143, 5, 5]]&0.999415&4.43175410787e-06
[[1, 140, 12], [140, 1, 12], [140, 12, 1], [12, 140, 1], [12, 1, 140], [1, 12, 140]]&0.999383&8.86599197837e-06
[[8, 142, 3], [3, 8, 142], [3, 142, 8], [142, 3, 8], [142, 8, 3], [8, 3, 142]]&0.999357&8.86805877686e-06
