Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[1, 151, 1], [1, 1, 151], [151, 1, 1]]&0.999941&2.26394694566e-07
[[1, 150, 2], [2, 1, 150], [2, 150, 1], [1, 2, 150], [150, 1, 2], [150, 2, 1]]&0.999915&3.6457928665e-16
[[1, 149, 3], [3, 1, 149], [3, 149, 1], [1, 3, 149], [149, 1, 3], [149, 3, 1]]&0.999886&5.08811394008e-16
[[2, 2, 149], [2, 149, 2], [149, 2, 2]]&0.999878&2.54405695355e-16
[[1, 148, 4], [4, 148, 1], [4, 1, 148], [1, 4, 148], [148, 1, 4], [148, 4, 1]]&0.999852&7.10103526155e-16
[[2, 3, 148], [2, 148, 3], [3, 2, 148], [3, 148, 2], [148, 2, 3], [148, 3, 2]]&0.999836&7.10103515132e-16
[[1, 147, 5], [5, 1, 147], [1, 5, 147], [5, 147, 1], [147, 1, 5], [147, 5, 1]]&0.999814&9.9102934832e-16
[[2, 4, 147], [4, 147, 2], [2, 147, 4], [4, 2, 147], [147, 2, 4], [147, 4, 2]]&0.999787&9.9102932043e-16
[[3, 3, 147], [3, 147, 3], [147, 3, 3]]&0.999779&4.95514655734e-16
[[1, 146, 6], [6, 1, 146], [6, 146, 1], [1, 6, 146], [146, 1, 6], [146, 6, 1]]&0.99977&1.38309295808e-15
[[2, 5, 146], [2, 146, 5], [5, 2, 146], [5, 146, 2], [146, 2, 5], [146, 5, 2]]&0.999732&1.38309289479e-15
[[1, 145, 7], [7, 1, 145], [1, 7, 145], [145, 1, 7], [145, 7, 1], [7, 145, 1]]&0.999721&1.93026188472e-15
[[4, 146, 3], [3, 4, 146], [3, 146, 4], [4, 3, 146], [146, 3, 4], [146, 4, 3]]&0.999714&1.38309286483e-15
[[2, 6, 145], [2, 145, 6], [6, 2, 145], [6, 145, 2], [145, 2, 6], [145, 6, 2]]&0.99967&1.93026174895e-15
[[8, 144, 1], [1, 144, 8], [1, 8, 144], [144, 1, 8], [144, 8, 1], [8, 1, 144]]&0.999666&2.693897796e-15
[[3, 5, 145], [3, 145, 5], [5, 3, 145], [5, 145, 3], [145, 3, 5], [145, 5, 3]]&0.99964&1.93026167314e-15
[[4, 145, 4], [4, 4, 145], [145, 4, 4]]&0.999631&9.65130824391e-16
[[9, 1, 143], [1, 143, 9], [9, 143, 1], [1, 9, 143], [143, 1, 9], [143, 9, 1]]&0.999605&3.75963787099e-15
[[2, 7, 144], [2, 144, 7], [7, 2, 144], [144, 2, 7], [144, 7, 2], [7, 144, 2]]&0.9996&2.69389751411e-15
