Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[101, 1], [1, 101]]&0.993979140098&5.26531112483e-05
[[100, 2], [2, 100]]&0.991166320696&5.39440747284e-05
[[99, 3], [3, 99]]&0.987952045973&5.54580847929e-05
[[98, 4], [4, 98]]&0.984242703578&5.72581745758e-05
[[97, 5], [5, 97]]&0.979984328702&5.93968570155e-05
[[96, 6], [6, 96]]&0.975134320528&6.19301441093e-05
[[95, 7], [7, 95]]&0.969655508205&6.49220748943e-05
[[94, 8], [8, 94]]&0.963514329787&6.84478617883e-05
[[93, 9], [9, 93]]&0.956680170868&7.25970661171e-05
[[92, 10], [10, 92]]&0.949125109483&7.74772805695e-05
[[11, 91], [91, 11]]&0.94082382113&8.32186170252e-05
[[12, 90], [90, 12]]&0.931753549707&8.9979287961e-05
[[13, 89], [89, 13]]&0.921894104264&9.7952619591e-05
[[14, 88], [88, 14]]&0.911227863302&0.000107375921956
[[15, 87], [87, 15]]&0.899739777992&0.00011854176407
[[16, 86], [86, 16]]&0.887417370267&0.00013181236798
[[17, 85], [85, 17]]&0.874250724042&0.000147638056611
[[18, 84], [84, 18]]&0.860232468984&0.000166580984154
[[19, 83], [83, 19]]&0.845357756875&0.000189345769011
[[20, 82], [82, 20]]&0.829624230934&0.000216819170577
[[21, 81], [81, 21]]&0.81303198861&0.000250121647099
[[22, 80], [80, 22]]&0.795583538424&0.000290674562221
[[23, 79], [79, 23]]&0.777283751452&0.000340288053593
[[24, 78], [78, 24]]&0.758139808004&0.000401276247055
[[25, 77], [77, 25]]&0.73816114005&0.000476608741445
[[26, 76], [76, 26]]&0.717359369868&0.000570110300124
[[27, 75], [75, 27]]&0.695748245369&0.00068672473271
[[28, 74], [74, 28]]&0.6733435725&0.00083286439279
[[29, 73], [73, 29]]&0.650163145084&0.00101687403628
[[30, 72], [72, 30]]&0.626226672409&0.00124964762552
[[31, 71], [71, 31]]&0.601555704863&0.00154544988813
[[32, 70], [70, 32]]&0.576173557849&0.00192301219518
[[33, 69], [69, 33]]&0.550105234206&0.0024069961338
[[34, 68], [68, 34]]&0.523377345331&0.00302995002805
[[35, 67], [67, 35]]&0.496018031159&0.00383492625523
[[36, 66], [66, 36]]&0.468056879162&0.00487898397071
[[37, 65], [65, 37]]&0.439524842487&0.00623787728254
[[38, 64], [64, 38]]&0.410454157344&0.00801232878685
[[39, 63], [63, 39]]&0.380878259749&0.0103364200633
[[40, 62], [62, 40]]&0.350831701706&0.0133888035464
[[41, 61], [61, 41]]&0.320350066894&0.017407665741
[[42, 60], [60, 42]]&0.289469885947&0.0227106642998
[[43, 59], [59, 43]]&0.258228551352&0.0297214382249
[[44, 58], [58, 44]]&0.226664232055&0.0390047717127
[[45, 57], [57, 45]]&0.194815787785&0.0513131012586
[[46, 56], [56, 46]]&0.162722683162&0.0676478184145
[[47, 55], [55, 47]]&0.130424901611&0.0893397642999
[[48, 54], [54, 48]]&0.0979628591195&0.118154463189
[[49, 53], [53, 49]]&0.0653773178762&0.156429023936
[[50, 52], [52, 50]]&0.0327092997983&0.207249263558
[[51, 51]]&0.0&0.137338737588
