Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[968, 34], [931, 71], [994, 8], [932, 70], [915, 87], [995, 7], [978, 24], [961, 41], [941, 61], [933, 69], [916, 86], [924, 78], [992, 10], [977, 25], [996, 6], [979, 23], [962, 40], [973, 29], [934, 68], [917, 85], [997, 5], [980, 22], [935, 67], [918, 84], [998, 4], [981, 21], [946, 56], [964, 38], [947, 55], [936, 66], [970, 32], [999, 3], [982, 20], [965, 37], [948, 54], [986, 16], [971, 31], [937, 65], [963, 39], [920, 82], [960, 42], [1000, 2], [983, 19], [966, 36], [949, 53], [938, 64], [921, 81], [925, 77], [1001, 1], [984, 18], [967, 35], [950, 52], [974, 28], [939, 63], [922, 80], [985, 17], [940, 62], [969, 33], [952, 50], [929, 73], [65, 937], [66, 936], [67, 935], [68, 934], [993, 9], [69, 933], [70, 932], [72, 930], [82, 920], [83, 919], [953, 49], [86, 916], [87, 915], [988, 14], [942, 60], [991, 11], [976, 26], [1, 1001], [943, 59], [919, 83], [926, 76], [951, 51], [989, 13], [959, 43], [955, 47], [975, 27], [944, 58], [927, 75], [954, 48], [958, 44], [71, 931], [990, 12], [956, 46], [987, 15], [972, 30], [957, 45], [73, 929], [945, 57], [928, 74], [923, 79], [74, 928], [2, 1000], [3, 999], [4, 998], [75, 927], [5, 997], [6, 996], [7, 995], [8, 994], [9, 993], [10, 992], [76, 926], [11, 991], [12, 990], [13, 989], [14, 988], [15, 987], [16, 986], [77, 925], [17, 985], [18, 984], [19, 983], [20, 982], [21, 981], [22, 980], [78, 924], [23, 979], [930, 72], [24, 978], [25, 977], [26, 976], [27, 975], [28, 974], [79, 923], [29, 973], [30, 972], [31, 971], [32, 970], [33, 969], [34, 968], [80, 922], [35, 967], [36, 966], [37, 965], [38, 964], [39, 963], [40, 962], [81, 921], [41, 961], [42, 960], [43, 959], [44, 958], [45, 957], [46, 956], [47, 955], [48, 954], [49, 953], [50, 952], [51, 951], [52, 950], [53, 949], [54, 948], [55, 947], [56, 946], [57, 945], [58, 944], [84, 918], [59, 943], [60, 942], [61, 941], [62, 940], [63, 939], [64, 938], [85, 917]]&1.0&1.2278368682e-24
[[90, 912], [909, 93], [912, 90], [96, 906], [97, 905], [907, 95], [914, 88], [905, 97], [910, 92], [906, 96], [908, 94], [88, 914], [89, 913], [91, 911], [92, 910], [93, 909], [94, 908], [95, 907], [913, 89], [911, 91]]&0.9999999&1.41131130646e-25
[[98, 904], [101, 901], [102, 900], [900, 102], [901, 101], [902, 100], [903, 99], [904, 98], [99, 903], [100, 902]]&0.9999998&7.05659743417e-26
[[899, 103], [103, 899], [104, 898], [105, 897], [106, 896], [897, 105], [898, 104], [896, 106]]&0.9999997&5.64531007215e-26
[[109, 893], [895, 107], [107, 895], [108, 894], [893, 109], [894, 108]]&0.9999996&4.23401135453e-26
[[891, 111], [110, 892], [111, 891], [892, 110]]&0.9999995&2.82269376243e-26
[[113, 889], [889, 113], [890, 112], [112, 890]]&0.9999994&2.82270987713e-26
[[114, 888], [888, 114]]&0.9999993&1.41136448396e-26
[[886, 116], [887, 115], [115, 887], [116, 886]]&0.9999992&2.82273978326e-26
[[885, 117], [117, 885]]&0.9999991&1.41138215112e-26
[[884, 118], [118, 884]]&0.999999&1.41138908035e-26
[[119, 883], [883, 119]]&0.9999989&1.41139659885e-26
[[120, 882], [882, 120]]&0.9999988&1.41140475262e-26
[[121, 881], [881, 121]]&0.9999987&1.41141359091e-26
[[122, 880], [880, 122]]&0.9999986&1.41142316643e-26
[[123, 879], [879, 123]]&0.9999985&1.41143353558e-26
[[124, 878], [878, 124]]&0.9999983&1.41144475867e-26
[[125, 877], [877, 125]]&0.9999982&1.41145690016e-26
[[876, 126], [126, 876]]&0.999998&1.41147002892e-26
[[875, 127], [127, 875]]&0.9999979&1.41148421848e-26
[[874, 128], [128, 874]]&0.9999977&1.41149954734e-26
[[873, 129], [129, 873]]&0.9999975&1.41151609925e-26
[[872, 130], [130, 872]]&0.9999973&1.41153396353e-26
[[131, 871], [871, 131]]&0.999997&1.41155323539e-26
[[870, 132], [132, 870]]&0.9999968&1.41157401627e-26
[[869, 133], [133, 869]]&0.9999965&1.41159641422e-26
[[868, 134], [134, 868]]&0.9999962&1.41162054427e-26
[[867, 135], [135, 867]]&0.9999959&1.41164652883e-26
[[866, 136], [136, 866]]&0.9999956&1.41167449812e-26
[[137, 865], [865, 137]]&0.9999952&1.41170459057e-26
[[138, 864], [864, 138]]&0.9999948&1.41173695334e-26
[[863, 139], [139, 863]]&0.9999944&1.41177174275e-26
[[140, 862], [862, 140]]&0.9999939&1.41180912481e-26
[[861, 141], [141, 861]]&0.9999935&1.41184927575e-26
[[142, 860], [860, 142]]&0.9999929&1.41189238256e-26
[[859, 143], [143, 859]]&0.9999924&1.41193864358e-26
[[858, 144], [144, 858]]&0.9999918&1.41198826911e-26
[[857, 145], [145, 857]]&0.9999911&1.41204148201e-26
[[856, 146], [146, 856]]&0.9999905&1.41209851842e-26
[[855, 147], [147, 855]]&0.9999897&1.41215962839e-26
[[854, 148], [148, 854]]&0.9999889&1.41222507663e-26
[[149, 853], [853, 149]]&0.9999881&1.41229514328e-26
[[150, 852], [852, 150]]&0.9999872&1.41237012466e-26
[[151, 851], [851, 151]]&0.9999862&1.41245033411e-26
[[152, 850], [850, 152]]&0.9999852&1.41253610283e-26
[[849, 153], [153, 849]]&0.9999841&1.4126277808e-26
[[154, 848], [848, 154]]&0.9999829&1.41272573767e-26
[[155, 847], [847, 155]]&0.9999817&1.41283036377e-26
[[156, 846], [846, 156]]&0.9999803&1.41294207106e-26
[[157, 845], [845, 157]]&0.9999789&1.41306129425e-26
[[158, 844], [844, 158]]&0.9999773&1.41318849183e-26
[[843, 159], [159, 843]]&0.9999757&1.41332414723e-26
[[842, 160], [160, 842]]&0.999974&1.41346877e-26
[[841, 161], [161, 841]]&0.9999721&1.41362289706e-26
[[162, 840], [840, 162]]&0.9999701&1.41378709394e-26
[[163, 839], [839, 163]]&0.999968&1.41396195613e-26
[[838, 164], [164, 838]]&0.9999658&1.41414811046e-26
