Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[968, 34], [931, 71], [994, 8], [932, 70], [915, 87], [995, 7], [978, 24], [961, 41], [941, 61], [933, 69], [916, 86], [924, 78], [992, 10], [977, 25], [996, 6], [979, 23], [962, 40], [973, 29], [934, 68], [917, 85], [997, 5], [980, 22], [935, 67], [918, 84], [998, 4], [981, 21], [946, 56], [964, 38], [947, 55], [936, 66], [970, 32], [999, 3], [982, 20], [965, 37], [948, 54], [986, 16], [971, 31], [937, 65], [963, 39], [920, 82], [960, 42], [1000, 2], [983, 19], [966, 36], [949, 53], [938, 64], [921, 81], [925, 77], [1001, 1], [984, 18], [967, 35], [950, 52], [974, 28], [939, 63], [922, 80], [985, 17], [940, 62], [969, 33], [952, 50], [929, 73], [65, 937], [66, 936], [67, 935], [68, 934], [993, 9], [69, 933], [70, 932], [72, 930], [82, 920], [83, 919], [953, 49], [86, 916], [87, 915], [988, 14], [942, 60], [991, 11], [976, 26], [1, 1001], [943, 59], [919, 83], [926, 76], [951, 51], [989, 13], [959, 43], [955, 47], [975, 27], [944, 58], [927, 75], [954, 48], [958, 44], [71, 931], [990, 12], [956, 46], [987, 15], [972, 30], [957, 45], [73, 929], [945, 57], [928, 74], [923, 79], [74, 928], [2, 1000], [3, 999], [4, 998], [75, 927], [5, 997], [6, 996], [7, 995], [8, 994], [9, 993], [10, 992], [76, 926], [11, 991], [12, 990], [13, 989], [14, 988], [15, 987], [16, 986], [77, 925], [17, 985], [18, 984], [19, 983], [20, 982], [21, 981], [22, 980], [78, 924], [23, 979], [930, 72], [24, 978], [25, 977], [26, 976], [27, 975], [28, 974], [79, 923], [29, 973], [30, 972], [31, 971], [32, 970], [33, 969], [34, 968], [80, 922], [35, 967], [36, 966], [37, 965], [38, 964], [39, 963], [40, 962], [81, 921], [41, 961], [42, 960], [43, 959], [44, 958], [45, 957], [46, 956], [47, 955], [48, 954], [49, 953], [50, 952], [51, 951], [52, 950], [53, 949], [54, 948], [55, 947], [56, 946], [57, 945], [58, 944], [84, 918], [59, 943], [60, 942], [61, 941], [62, 940], [63, 939], [64, 938], [85, 917]]&1.0&2.22044604925e-16
[[90, 912], [909, 93], [912, 90], [96, 906], [97, 905], [907, 95], [914, 88], [905, 97], [910, 92], [906, 96], [908, 94], [88, 914], [89, 913], [91, 911], [92, 910], [93, 909], [94, 908], [95, 907], [913, 89], [911, 91]]&0.9999999&2.46368263747e-88
[[98, 904], [101, 901], [102, 900], [900, 102], [901, 101], [902, 100], [903, 99], [904, 98], [99, 903], [100, 902]]&0.9999998&2.77370066956e-87
[[899, 103], [103, 899], [104, 898], [105, 897], [106, 896], [897, 105], [898, 104], [896, 106]]&0.9999997&1.93060677218e-86
[[109, 893], [895, 107], [107, 895], [108, 894], [893, 109], [894, 108]]&0.9999996&7.77384848429e-86
[[891, 111], [110, 892], [111, 891], [892, 110]]&0.9999995&1.71942092517e-85
[[113, 889], [889, 113], [890, 112], [112, 890]]&0.9999994&4.67387065637e-85
[[114, 888], [888, 114]]&0.9999993&4.79661556477e-85
[[886, 116], [887, 115], [115, 887], [116, 886]]&0.9999992&2.09468350368e-84
[[885, 117], [117, 885]]&0.9999991&2.14969395512e-84
[[884, 118], [118, 884]]&0.999999&3.54424614931e-84
[[119, 883], [883, 119]]&0.9999989&5.84347401496e-84
[[120, 882], [882, 120]]&0.9999988&9.63425990325e-84
[[121, 881], [881, 121]]&0.9999987&1.58842092299e-83
[[122, 880], [880, 122]]&0.9999986&2.61886336256e-83
[[123, 879], [879, 123]]&0.9999985&4.31777573092e-83
[[124, 878], [878, 124]]&0.9999983&7.11880868968e-83
[[125, 877], [877, 125]]&0.9999982&1.17369313087e-82
[[876, 126], [126, 876]]&0.999998&1.93509283014e-82
[[875, 127], [127, 875]]&0.9999979&3.19042870983e-82
[[874, 128], [128, 874]]&0.9999977&5.26012767656e-82
[[873, 129], [129, 873]]&0.9999975&8.67248438694e-82
[[872, 130], [130, 872]]&0.9999973&1.42985094786e-81
[[131, 871], [871, 131]]&0.999997&2.35742567166e-81
[[870, 132], [132, 870]]&0.9999968&3.88673784896e-81
[[869, 133], [133, 869]]&0.9999965&6.40814736522e-81
[[868, 134], [134, 868]]&0.9999962&1.05652488668e-80
[[867, 135], [135, 867]]&0.9999959&1.7419150537e-80
[[866, 136], [136, 866]]&0.9999956&2.87193240078e-80
[[137, 865], [865, 137]]&0.9999952&4.73501603718e-80
[[138, 864], [864, 138]]&0.9999948&7.80672165761e-80
[[863, 139], [139, 863]]&0.9999944&1.28711080513e-79
[[140, 862], [862, 140]]&0.9999939&2.12208696217e-79
[[861, 141], [141, 861]]&0.9999935&3.49872991281e-79
[[142, 860], [860, 142]]&0.9999929&5.76843042768e-79
[[859, 143], [143, 859]]&0.9999924&9.51053394467e-79
[[858, 144], [144, 858]]&0.9999918&1.56802196103e-78
[[857, 145], [145, 857]]&0.9999911&2.58523116007e-78
[[856, 146], [146, 856]]&0.9999905&4.26232560329e-78
[[855, 147], [147, 855]]&0.9999897&7.02738688479e-78
[[854, 148], [148, 854]]&0.9999889&1.15862022344e-77
[[149, 853], [853, 149]]&0.9999881&1.91024180705e-77
[[150, 852], [852, 150]]&0.9999872&3.14945629946e-77
[[151, 851], [851, 151]]&0.9999862&5.19257559206e-77
[[152, 850], [850, 152]]&0.9999852&8.56110982835e-77
[[849, 153], [153, 849]]&0.9999841&1.41148838748e-76
[[154, 848], [848, 154]]&0.9999829&2.32715092779e-76
[[155, 847], [847, 155]]&0.9999817&3.83682323477e-76
[[156, 846], [846, 156]]&0.9999803&6.32585207908e-76
[[157, 845], [845, 157]]&0.9999789&1.04295668781e-75
[[158, 844], [844, 158]]&0.9999773&1.71954487561e-75
[[843, 159], [159, 843]]&0.9999757&2.83505021234e-75
[[842, 160], [160, 842]]&0.999974&4.67420758859e-75
[[841, 161], [161, 841]]&0.9999721&7.70646547497e-75
[[162, 840], [840, 162]]&0.9999701&1.27058135505e-74
[[163, 839], [839, 163]]&0.999968&2.09483450623e-74
[[838, 164], [164, 838]]&0.9999658&3.45379820901e-74
