Candidates_of_the_same_steps&Hellinger Distance&Probabilities 
[[5001, 5001]]&0.0&0.0599814908989
[[5000, 5002], [5002, 5000]]&0.00232980816412&0.0727612264909
[[4999, 5003], [5003, 4999]]&0.00465959726135&0.0441320952907
[[4998, 5004], [5004, 4998]]&0.00698934874575&0.0267677944735
[[4997, 5005], [5005, 4997]]&0.00931904350288&0.0162358831895
[[4996, 5006], [5006, 4996]]&0.0116486625758&0.00984796057254
[[4995, 5007], [5007, 4995]]&0.013978187393&0.00597345325197
[[4994, 5008], [5008, 4994]]&0.0163075988256&0.00362339103319
[[4993, 5009], [5009, 4993]]&0.0186368781231&0.00219794720669
[[4992, 5010], [5010, 4992]]&0.0209660063145&0.00133331692459
[[4991, 5011], [5011, 4991]]&0.0232949646326&0.000808845101963
[[4990, 5012], [5012, 4990]]&0.0256237341043&0.000490698724584
[[4989, 5013], [5013, 4989]]&0.0279522958497&0.000297703444337
[[4988, 5014], [5014, 4988]]&0.030280631108&0.000180623352552
[[4987, 5015], [5015, 4987]]&0.0326087209885&0.000109594007701
[[4986, 5016], [5016, 4986]]&0.0349365465938&6.65004141595e-05
[[4985, 5017], [5017, 4985]]&0.0372640891336&4.0354156522e-05
[[4984, 5018], [5018, 4984]]&0.0395913297924&2.44895234859e-05
[[4983, 5019], [5019, 4983]]&0.0419182496844&1.48628567516e-05
[[4982, 5020], [5020, 4982]]&0.0442448299665&9.02102533203e-06
[[4981, 5021], [5021, 4981]]&0.0465710519078&5.475741169e-06
[[4980, 5022], [5022, 4980]]&0.0488968966424&3.32403109373e-06
[[4979, 5023], [5023, 4979]]&0.0512223453618&2.01801390306e-06
[[4978, 5024], [5024, 4978]]&0.0535473793387&1.2252420294e-06
[[4977, 5025], [5025, 4977]]&0.055871979717&7.43977893305e-07
[[4976, 5026], [5026, 4976]]&0.0581961277899&4.51793868629e-07
[[4975, 5027], [5027, 4975]]&0.0605198047481&2.74387639894e-07
[[4974, 5028], [5028, 4974]]&0.0628429918602&1.66661164188e-07
[[4973, 5029], [5029, 4973]]&0.0651656703772&1.01239893882e-07
[[4972, 5030], [5030, 4972]]&0.0674878215854&6.15060870528e-08
[[4971, 5031], [5031, 4971]]&0.0698094267763&3.73710591746e-08
[[4970, 5032], [5032, 4970]]&0.072130467217&2.27093838977e-08
[[4969, 5033], [5033, 4969]]&0.0744509242355&1.38016075633e-08
[[4968, 5034], [5034, 4968]]&0.076770779125&8.38899851786e-09
