Data size= 10
when data set x = [0, 0, 10], the max value takes at y = [0, 1, 9]
when data set x = [0, 1, 9], the max value takes at y = [0, 1, 9]
when data set x = [0, 2, 8], the max value takes at y = [0, 1, 9]
when data set x = [0, 3, 7], the max value takes at y = [0, 1, 9]
when data set x = [0, 4, 6], the max value takes at y = [0, 1, 9]
when data set x = [0, 5, 5], the max value takes at y = [0, 1, 9]
when data set x = [0, 6, 4], the max value takes at y = [0, 9, 1]
when data set x = [0, 7, 3], the max value takes at y = [0, 9, 1]
when data set x = [0, 8, 2], the max value takes at y = [0, 9, 1]
when data set x = [0, 9, 1], the max value takes at y = [0, 9, 1]
when data set x = [0, 10, 0], the max value takes at y = [0, 9, 1]
when data set x = [1, 0, 9], the max value takes at y = [1, 0, 9]
when data set x = [1, 1, 8], the max value takes at y = [0, 1, 9]
when data set x = [1, 2, 7], the max value takes at y = [0, 1, 9]
when data set x = [1, 3, 6], the max value takes at y = [0, 1, 9]
when data set x = [1, 4, 5], the max value takes at y = [0, 1, 9]
when data set x = [1, 5, 4], the max value takes at y = [0, 9, 1]
when data set x = [1, 6, 3], the max value takes at y = [0, 9, 1]
when data set x = [1, 7, 2], the max value takes at y = [0, 9, 1]
when data set x = [1, 8, 1], the max value takes at y = [0, 9, 1]
when data set x = [1, 9, 0], the max value takes at y = [1, 9, 0]
when data set x = [2, 0, 8], the max value takes at y = [1, 0, 9]
when data set x = [2, 1, 7], the max value takes at y = [0, 1, 9]
when data set x = [2, 2, 6], the max value takes at y = [0, 1, 9]
when data set x = [2, 3, 5], the max value takes at y = [0, 1, 9]
when data set x = [2, 4, 4], the max value takes at y = [0, 1, 9]
when data set x = [2, 5, 3], the max value takes at y = [0, 9, 1]
when data set x = [2, 6, 2], the max value takes at y = [0, 9, 1]
when data set x = [2, 7, 1], the max value takes at y = [0, 9, 1]
when data set x = [2, 8, 0], the max value takes at y = [1, 9, 0]
when data set x = [3, 0, 7], the max value takes at y = [1, 0, 9]
when data set x = [3, 1, 6], the max value takes at y = [0, 1, 9]
when data set x = [3, 2, 5], the max value takes at y = [0, 1, 9]
when data set x = [3, 3, 4], the max value takes at y = [0, 1, 9]
when data set x = [3, 4, 3], the max value takes at y = [0, 9, 1]
when data set x = [3, 5, 2], the max value takes at y = [0, 9, 1]
when data set x = [3, 6, 1], the max value takes at y = [0, 9, 1]
when data set x = [3, 7, 0], the max value takes at y = [1, 9, 0]
when data set x = [4, 0, 6], the max value takes at y = [1, 0, 9]
when data set x = [4, 1, 5], the max value takes at y = [0, 1, 9]
when data set x = [4, 2, 4], the max value takes at y = [0, 1, 9]
when data set x = [4, 3, 3], the max value takes at y = [9, 0, 1]
when data set x = [4, 4, 2], the max value takes at y = [0, 9, 1]
when data set x = [4, 5, 1], the max value takes at y = [0, 9, 1]
when data set x = [4, 6, 0], the max value takes at y = [1, 9, 0]
when data set x = [5, 0, 5], the max value takes at y = [1, 0, 9]
when data set x = [5, 1, 4], the max value takes at y = [9, 0, 1]
when data set x = [5, 2, 3], the max value takes at y = [9, 0, 1]
when data set x = [5, 3, 2], the max value takes at y = [9, 0, 1]
when data set x = [5, 4, 1], the max value takes at y = [9, 0, 1]
when data set x = [5, 5, 0], the max value takes at y = [1, 9, 0]
when data set x = [6, 0, 4], the max value takes at y = [9, 0, 1]
when data set x = [6, 1, 3], the max value takes at y = [9, 0, 1]
when data set x = [6, 2, 2], the max value takes at y = [9, 0, 1]
when data set x = [6, 3, 1], the max value takes at y = [9, 0, 1]
when data set x = [6, 4, 0], the max value takes at y = [9, 1, 0]
when data set x = [7, 0, 3], the max value takes at y = [9, 0, 1]
when data set x = [7, 1, 2], the max value takes at y = [9, 0, 1]
when data set x = [7, 2, 1], the max value takes at y = [9, 0, 1]
when data set x = [7, 3, 0], the max value takes at y = [9, 1, 0]
when data set x = [8, 0, 2], the max value takes at y = [9, 0, 1]
when data set x = [8, 1, 1], the max value takes at y = [9, 0, 1]
when data set x = [8, 2, 0], the max value takes at y = [9, 1, 0]
when data set x = [9, 0, 1], the max value takes at y = [9, 0, 1]
when data set x = [9, 1, 0], the max value takes at y = [9, 1, 0]
when data set x = [10, 0, 0], the max value takes at y = [9, 0, 1]
